message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.041182])";"30";"turtlesim3.sim";"1759169031.644756637";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.069607])";"30";"turtlesim3.sim";"1759169031.629348970";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.041182])";"30";"turtlesim2.sim";"1759169031.616070720";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.098032])";"30";"turtlesim3.sim";"1759169031.613603470";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.069607])";"30";"turtlesim2.sim";"1759169031.600515762";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.041182])";"30";"turtlesim1.sim";"1759169031.597240095";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.126457])";"30";"turtlesim3.sim";"1759169031.595307178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.098032])";"30";"turtlesim2.sim";"1759169031.584113303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.069607])";"30";"turtlesim1.sim";"1759169031.582044095";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.154882])";"30";"turtlesim3.sim";"1759169031.580007970";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.126457])";"30";"turtlesim2.sim";"1759169031.568247303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.098032])";"30";"turtlesim1.sim";"1759169031.566077928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.183307])";"30";"turtlesim3.sim";"1759169031.565506720";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.154882])";"30";"turtlesim2.sim";"1759169031.552199595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.126457])";"30";"turtlesim1.sim";"1759169031.550096595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.211732])";"30";"turtlesim3.sim";"1759169031.548767762";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.183307])";"30";"turtlesim2.sim";"1759169031.536174803";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.154882])";"30";"turtlesim1.sim";"1759169031.534237303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.240157])";"30";"turtlesim3.sim";"1759169031.532289428";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.211732])";"30";"turtlesim2.sim";"1759169031.520747387";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.183307])";"30";"turtlesim1.sim";"1759169031.517079887";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.268582])";"30";"turtlesim3.sim";"1759169031.515062345";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.240157])";"30";"turtlesim2.sim";"1759169031.504197887";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.211732])";"30";"turtlesim1.sim";"1759169031.502112512";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.297007])";"30";"turtlesim3.sim";"1759169031.500323262";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.268582])";"30";"turtlesim2.sim";"1759169031.488441762";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.240157])";"30";"turtlesim1.sim";"1759169031.486041095";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.325432])";"30";"turtlesim3.sim";"1759169031.484788470";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.297007])";"30";"turtlesim2.sim";"1759169031.472181887";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.268582])";"30";"turtlesim1.sim";"1759169031.470212262";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.353857])";"30";"turtlesim3.sim";"1759169031.467269637";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.325432])";"30";"turtlesim2.sim";"1759169031.456077053";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.297007])";"30";"turtlesim1.sim";"1759169031.454041845";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.382282])";"30";"turtlesim3.sim";"1759169031.453512053";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.353857])";"30";"turtlesim2.sim";"1759169031.440145845";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.325432])";"30";"turtlesim1.sim";"1759169031.437176387";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.410707])";"30";"turtlesim3.sim";"1759169031.436688845";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.382282])";"30";"turtlesim2.sim";"1759169031.424215928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.353857])";"30";"turtlesim1.sim";"1759169031.422293053";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.439132])";"30";"turtlesim3.sim";"1759169031.419320178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.410707])";"30";"turtlesim2.sim";"1759169031.408127178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.382282])";"30";"turtlesim1.sim";"1759169031.406220178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.467558])";"30";"turtlesim3.sim";"1759169031.404191137";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.439132])";"30";"turtlesim2.sim";"1759169031.392091428";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.410707])";"30";"turtlesim1.sim";"1759169031.390054053";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.495983])";"30";"turtlesim3.sim";"1759169031.388242928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.467558])";"30";"turtlesim2.sim";"1759169031.376134928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.439132])";"30";"turtlesim1.sim";"1759169031.374063803";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.524408])";"30";"turtlesim3.sim";"1759169031.371082303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.495983])";"30";"turtlesim2.sim";"1759169031.360168761";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.467558])";"30";"turtlesim1.sim";"1759169031.358076470";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.552833])";"30";"turtlesim3.sim";"1759169031.355219595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.524408])";"30";"turtlesim2.sim";"1759169031.344106261";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.495983])";"30";"turtlesim1.sim";"1759169031.341213261";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.581258])";"30";"turtlesim3.sim";"1759169031.340076886";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.552833])";"30";"turtlesim2.sim";"1759169031.328292220";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.524408])";"30";"turtlesim1.sim";"1759169031.326199178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.609683])";"30";"turtlesim3.sim";"1759169031.323863928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.581258])";"30";"turtlesim2.sim";"1759169031.312266678";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.552833])";"30";"turtlesim1.sim";"1759169031.310223178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.638108])";"30";"turtlesim3.sim";"1759169031.307070761";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.609683])";"30";"turtlesim2.sim";"1759169031.296101053";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.581258])";"30";"turtlesim1.sim";"1759169031.294042720";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.666533])";"30";"turtlesim3.sim";"1759169031.292118636";"./src/turtle.cpp:update:260"
